title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
ATEEZ(에이티즈) - 'HALAZIA' Official MV,https://www.youtube.com/watch?v=SszP3hlQ55Y,https://i.ytimg.com/vi/SszP3hlQ55Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkxHxcDKNCtisH0uPeEU-MqgYQsw,KQ ENTERTAINMENT,14M,1 day ago,31/12/2022,[SPIN OFF : FROM THE WITNESS] Release Date: 2022. 12. 30 iTunes ▶ https://apple.co/3G56yY5 Spotify ▶ https://spoti.fi/3Cb4xZf Melon ▶ http://kko.to/CbEONu6G8v genie ▶ http://genie.co.kr/R...
This Winter Heat Wave Is About To Cause Chaos…,https://www.youtube.com/watch?v=wY3Ehw7_4Sg,,"Ryan Hall, Y'all",1.3M,1 day ago,31/12/2022,"Get a NOAA Weather Radio here: https://shopryanhall.com/collections/weather-equipment In this video we are talking about a dramatic warm up in the east, a crazy train of storms in the west,..."
NBA YoungBoy - Letter To Big Dump,https://www.youtube.com/watch?v=xjoR-OjLwjM,,YoungBoy Never Broke Again,1.3M,2 days ago,31/12/2022,
CRAZIEST Shoes In NBA History..,https://www.youtube.com/watch?v=ZnnGFo3dGHw,,REBOUND,887K,1 day ago,31/12/2022,Don’t miss out on all the action this week at DraftKings! Download the DraftKings app today! Sign-up using https://dkng.co/reboundrewind or through my promo code REBOUND If you or someone...
PSG vs Strasbourg | LIGUE 1 HIGHLIGHTS | 12/28/2022 | beIN SPORTS USA,https://www.youtube.com/watch?v=Y4aSDHmQxFk,,beIN SPORTS USA,633K,2 days ago,31/12/2022,"PSG struggled to beat Strasbourg and claim all three points thanks to a last-minute penalty converted by Kylian Mbappe. #ligue1 #psg #Strasbourg Catch the latest highlights of Ligue 1🇫🇷,..."
Wish Shoe a Merry Christmas! (FV Family 2022 Xmas vlog),https://www.youtube.com/watch?v=MtV3HYf7bls,,FV FAMILY,1.2M,1 day ago,31/12/2022,Hope everyone had a Merry Chrismahanakwanzika! Have a Happy New Year's and we'll see you in 2023! 🆕 Pre-Order FGTeeV Out of Time Book ➡ https://amzn.to/3g1uyST ✨SUBSCRIBE & Let's Get...
Chase: Authorities pursue suspect accused of killing Riverside County deputy,https://www.youtube.com/watch?v=1lvFLXod_Ic,,ABC7,745K,1 day ago,31/12/2022,Authorities chased a suspect accused of shooting and killing a Riverside County deputy. Full story: https://abc7.com/riverside-sheriff-deputy-shooting-county/12629007/
Dallas Cowboys vs. Tennessee Titans | 2022 Week 17 Game Highlights,https://www.youtube.com/watch?v=xOAvj3-ZUnw,,NFL,1.5M,1 day ago,31/12/2022,Check out our other channels: NFL Mundo https://www.youtube.com/mundonfl NFL Brasil https://www.youtube.com/c/NFLBrasilOficial NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...
I Beat Minecraft in Antarctica,https://www.youtube.com/watch?v=6Ka3X_wlZLU,,Karl,872K,1 day ago,31/12/2022,I CANNOT BELIEVE HOW LITTLE I WAS WEARING BY THEN END HAHAHAHA SUBSCRIBE!!! Watch me live! https://www.twitch.tv/karljacobs Join my discord server! https://discord.gg/ecH97hH66m ----------------...
Film Theory: How to BEAT the Smile Monster! (Smile 2022),https://www.youtube.com/watch?v=GIubKygOjSw,,The Film Theorists,1M,1 day ago,31/12/2022,"Subscribe to NEVER miss a Film Theory! ► http://bit.ly/1dI8VBH You MUST resist the urge to smile, Loyal Theorist! Otherwise, the Smile Monster might getcha’. . . You see, the monster from..."
